,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
16200,0.78564,0.7475592157714107,0.6200469724633733,139.868271,13.91886,106.657684,-155.0,-259.0,-478.0,246.0,-240.0,0.0
16201,0.786738,0.7475697094325818,0.6161134703177407,141.34317,14.212479,106.657684,-157.63157894736844,-256.89473684210526,-486.94736842105266,251.26315789473685,-249.47368421052633,4.2105263157894735
16202,0.787025,0.7475724523112304,0.6150853144745745,141.418961,14.325092,106.657684,-161.82656826568265,-256.93357933579335,-496.5608856088561,253.74907749077494,-258.52398523985244,9.29889298892989
16203,0.787018,0.7475723854117512,0.6151103914463589,141.169724,14.454906,106.657684,-165.65716778133176,-255.20820005815645,-508.9014248328003,259.05612096539693,-271.74760104681593,13.573713288746728
16204,0.787164,0.7475737807437466,0.6145873574634244,141.18605,14.527039,106.657684,-167.9386339771922,-253.2038045468975,-520.6468218114331,263.6821078850333,-286.7050865668726,18.561695685087052
16205,0.787259,0.7475746886652505,0.6142470271320626,141.373901,14.409112,106.657684,-167.31146984691358,-251.0261055704831,-532.0334728390662,268.8720395937331,-303.8416506779296,24.417586685988315
16206,0.787145,0.7475735991594459,0.6146554235296966,141.376053,14.409112,106.657684,-167.63512714415535,-249.48766242715445,-546.403049550597,274.0719244336482,-322.27327382183466,30.279620726808023
16207,0.785594,0.7475587761462615,0.6202117639922431,139.907242,14.409112,106.657684,-168.05035746932145,-248.17295982203237,-563.5393676279816,280.38026632320856,-340.66145585752844,35.673582200596385
16208,0.789333,0.7475945100252404,0.6068170786347564,142.302185,13.765017,106.657684,-169.5113339417583,-247.16526046036822,-580.1022187436498,286.1949782156524,-358.3470855916368,41.76690023182966
16209,0.789361,0.7475947776231573,0.6067167707476182,142.358032,13.765017,106.657684,-172.81057465191398,-246.06514940900544,-597.2823319389707,292.61347014930897,-376.25727336835854,48.097582694498485
16210,0.788621,0.7475877053924955,0.6093677649076987,138.904327,13.765017,106.657684,-175.0241654275125,-245.76419031560675,-615.0205347394608,299.81068560750174,-394.5820574462155,54.49558549887576
16211,0.788478,0.7475863387317055,0.6098800516170115,138.904327,13.765017,106.657684,-176.97182566201397,-244.96089773199915,-632.2982059318532,306.526306838088,-413.17506668178197,60.83704139966193
16212,0.788808,0.7475894925642979,0.6086978515185972,138.904327,13.765017,106.657684,-179.79132097464318,-245.2343042196092,-650.3592639615945,313.2939101018683,-431.78896261376065,67.29481723095233
16213,0.788808,0.7475894925642979,0.6086978515185972,138.904327,13.765017,106.657684,-182.930282617443,-244.94459839814104,-670.9290432910863,320.2575844105085,-451.0063995052029,74.25837391882537
