,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
2000,0.481766,0.02037968698598086,0.037926327308065555,150.778931,34.696468,129.341095,-87.0,-249.0,-427.0,226.0,-188.0,-24.0
2001,0.484436,0.020019630108091435,0.03286196151613807,150.089218,34.98959,127.987801,-83.99849924962481,-248.49974987493744,-432.5027513756878,228.00100050025011,-189.50075037518758,-24.50025012506253
2002,0.482318,0.02030524826066439,0.03687931235782438,151.700027,34.706711,135.229004,-82.33066555533348,-246.99833233288876,-437.34000322322214,229.33533422244437,-194.3386698903337,-21.3303312211107
2003,0.482089,0.02033612954344967,0.037313671820877414,150.514038,33.691837,130.464203,-79.24337131165701,-245.9972486249381,-442.26238106302907,230.50325137493684,-200.26288281440452,-19.244621937094855
2004,0.484756,0.01997647722385,0.03225499632759243,150.057999,34.094311,128.731598,-76.58939440080428,-246.39860080200154,-448.221811798992,233.20800520079777,-207.42461540039073,-16.9911952008038
2005,0.482787,0.02024200231469804,0.03598972900336217,149.862335,33.806561,132.355759,-76.15674849364083,-245.99783341809797,-455.5364387026087,235.34534055326935,-213.53577036582774,-15.1547443237241
2006,0.483986,0.02008031385155594,0.033715506312530286,149.977188,32.826611,128.768829,-75.27457086815271,-245.7115712875726,-462.0507435492322,236.87200713398317,-220.33674354794584,-13.556422438301285
2007,0.483986,0.02008031385155594,0.033715506312530286,149.977188,32.826611,128.768829,-75.11469104802408,-245.24599862725304,-470.07242039292674,239.02051098497114,-226.81728720008897,-11.228739014964965
2008,0.483986,0.02008031385155594,0.033715506312530286,149.977188,32.826611,128.768829,-75.88279061610709,-245.1069996347459,-476.7577192420427,241.026236195433,-233.19637887335682,-9.19520839756627
2009,0.484335,0.02003325023718014,0.03305353490377272,149.706802,32.569187,128.254166,-76.59772017334477,-244.4935464806487,-483.31136019590076,242.9321664307624,-238.50054620023815,-7.367484695498585
2010,0.485735,0.01984445636862389,0.030398062203885745,150.955948,32.857807,137.940338,-77.27402610838769,-244.08299564692976,-490.13525385605436,244.67429038625642,-243.2057704111399,-5.689347796830613
2011,0.485735,0.01984445636862389,0.030398062203885745,150.955948,32.857807,137.940338,-77.50244271244709,-243.90845590045376,-496.49216275211853,246.3774356655837,-247.71333201269718,-3.6205616659194026
2012,0.485735,0.01984445636862389,0.030398062203885745,150.955948,32.857807,137.940338,-78.23741776346479,-243.45122594696213,-502.6449318240307,247.8959414019678,-252.3012718912746,-1.87005382889408
2013,0.485045,0.01993750477526947,0.03170683089168713,149.273972,31.763662,127.559532,-79.01118304917645,-243.05931540824295,-508.70955665048115,249.34130296141436,-256.5213593319798,0.061742316404897114
2014,0.485471,0.019880057498123063,0.030898808484435825,150.626831,32.166401,134.672043,-79.34610517186341,-242.31685293096524,-514.3683600275394,250.9967541908876,-260.7829711103608,1.735961731916897
2015,0.483404,0.02015879815977005,0.034819424249197706,149.695984,30.435221,133.116959,-79.3243109019237,-241.793140046669,-520.2013816944786,252.63418062812212,-265.0156327151549,3.6416906059742775
2016,0.48516,0.0199219967074952,0.03148870277705362,147.924042,30.737644,130.156143,-79.48296730540712,-241.50892826670415,-525.4074473099429,254.01966927426216,-269.1060973427013,5.2639160644415615
