,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
3800,0.612903,0.747142581980544,0.6303903134461217,140.669052,9.398558,112.903366,-87.0,-266.0,-205.0,168.0,-22.0,-76.0
3801,0.612923,0.7471414790983376,0.6302881105997558,140.581772,9.364637,112.714935,-87.50025012506254,-268.5012506253126,-217.00600300150072,177.5047523761881,-31.504752376188094,-67.9959979989995
3802,0.612962,0.7471393284780353,0.6300888150493429,140.523102,9.342924,112.553566,-91.67100277911152,-268.66766677755527,-234.35467822666723,182.3413365561106,-40.34533922411104,-62.992329999222555
3803,0.612915,0.7471419202512202,0.6303289917383021,140.489166,9.316568,112.431732,-99.51501025349876,-266.4974969981245,-255.04702650524308,188.26488181290378,-50.52426262680866,-57.98674412493997
3804,0.612869,0.7471444568802946,0.6305640582849432,140.467255,9.311483,112.275162,-101.01500519419021,-266.59819880080204,-270.06763238976936,195.0254129983908,-60.63962059678428,-52.578589802208086
3805,0.61614,0.7469640804954507,0.6138487827618353,139.229462,9.960297,109.207748,-104.52125828246436,-265.32866272242006,-288.7697199167367,198.86409475035927,-74.73487501774862,-48.63898895521368
3806,0.615573,0.7469953472059999,0.6167462334563023,139.825745,9.880591,110.164459,-108.31529884111573,-264.5651384315794,-308.7195096485674,202.75229783082042,-90.10449639375054,-44.392128307034575
3807,0.615456,0.7470017990669069,0.6173441201075418,139.796509,9.83193,109.809448,-111.41170225015591,-263.9924958822004,-327.4449791712561,207.29914277109737,-104.7676528783324,-40.07804313141877
3808,0.615338,0.7470083060719243,0.617947116901099,139.684662,9.780644,109.325821,-115.1586883584401,-263.54710782712823,-344.24033973936815,212.62047375134256,-119.51900382266541,-35.60708506206148
3809,0.615113,0.7470207134967454,0.619096898922713,139.926025,9.746188,109.601234,-119.16078099830699,-263.19079791807,-360.7905836070479,217.98249122308886,-134.03223914493776,-30.925364897558804
3810,0.615298,0.7470105118363368,0.6181515225938305,139.845078,9.7931,109.809311,-123.89704770259833,-262.89927211520285,-377.8035223794986,223.74005729671595,-148.83035006712203,-25.35894659944199
3811,0.61519,0.747016467400251,0.618703417964205,139.780945,9.754264,109.531555,-129.3521972635571,-263.2428830134947,-395.66782238814585,229.4597394820621,-162.50276910162194,-19.79855393469828
3812,0.615149,0.7470187283087739,0.6189129337992552,139.789642,9.748798,109.36158,-135.2062548904019,-263.45624442174585,-412.7957663011903,235.69240334403528,-176.39328667817495,-14.784072943207521
3813,0.615269,0.747012111015536,0.6182997167210611,139.852036,9.777579,108.871864,-141.44620600127337,-263.7110192506147,-429.77743783293806,241.8974032890195,-190.1686632578259,-10.054591590360321
3814,0.61497,0.7470285991045206,0.6198276492742276,139.78093,9.706631,108.729103,-147.05555473474075,-264.06609274336773,-445.3004670596021,247.61073023959224,-202.98004459470357,-5.2843715408613585
3815,0.614646,0.747046465796263,0.6214833353853519,139.803299,9.672982,108.695824,-152.78233361804388,-264.4397513508137,-460.2684253757334,253.68037015031888,-214.56779568436795,-0.6696488913114441
3816,0.614402,0.7470599209591801,0.6227302101110133,139.789474,9.645896,108.695831,-158.7247932726778,-265.0066313624629,-475.3728691291615,259.510284722601,-226.39323396052532,3.9951096433674755
3817,0.614369,0.7470617407148206,0.6228988448075166,139.811462,9.648768,108.682449,-164.39916956848907,-265.3984647292567,-490.47988149241866,264.7484455856101,-238.36146595932806,8.645813379220924
3818,0.614465,0.7470564468802302,0.6224082711449612,139.808441,9.700204,108.6632,-169.47622784995997,-265.8021582685704,-506.06780830979955,269.91316860628746,-250.3444161355909,13.284918443500766
3819,0.614469,0.7470562263037889,0.622387830575688,139.815445,9.720098,108.67646,-174.44937912586064,-266.01405131232127,-522.2673944985128,274.8642645707399,-261.8357103953868,17.611529756732544
3820,0.614456,0.747056943177223,0.6224542624258258,139.841354,9.722206,108.539185,-179.42985178351122,-266.35005438147743,-538.3189266152241,279.8247824893765,-272.2806579723646,22.151330593035027
3821,0.614337,0.7470635053263506,0.6230623693617017,139.887497,9.733229,108.526428,-184.4628084717883,-266.74737794416865,-554.0595186314931,284.563996677611,-281.7300979450135,26.37027510050964
3822,0.614754,0.7470405102323489,0.620931440014977,139.91304,9.872848,108.328468,-188.3547649146624,-267.2420256075234,-569.3983963528292,288.84713096674915,-290.92927548322365,30.354216037083003
3823,0.614803,0.7470378081709433,0.6206810430413814,139.995209,9.927132,108.163849,-192.25956061124654,-267.526859569044,-584.8920065601616,293.02620931814386,-299.7411530139228,34.59621751439298
3824,0.614805,0.7470376978827227,0.6206708227567446,140.033585,9.96017,108.041687,-195.69002994416437,-267.9508340884929,-600.0771587414528,296.83046392618553,-308.2123866115474,38.660771571585386
3825,0.614862,0.7470345546684347,0.6203795446446025,140.031311,10.012514,107.904839,-198.58399250806738,-268.26430460666217,-614.9898866921294,300.6146802236507,-316.538232380392,42.64631880929809
3826,0.6149,0.7470324591922427,0.6201853592365079,140.073563,10.077308,107.839439,-200.7007643536664,-268.4419915278677,-629.5108027978877,304.34369360338184,-324.77260612527294,46.67431121727528
3827,0.614977,0.7470282130957483,0.6197918782779999,140.178452,10.192891,107.965576,-202.73872687661424,-268.46219074266406,-644.1890089559482,308.1683208878808,-333.0341547961747,50.59556683428794
3828,0.615019,0.7470258970431151,0.619577252300632,140.199646,10.262133,108.031372,-204.21651621022758,-268.58590061694036,-657.6450536037703,311.8340679363515,-341.21545661031047,54.386245704301494
3829,0.614921,0.747031301165926,0.6200780462478237,140.257813,10.292574,108.118378,-205.05467294028634,-268.5660859472434,-670.2716061771364,315.2892344604869,-349.35858883692174,57.99183386284146
3830,0.614813,0.7470372567298401,0.6206299416181982,140.302765,10.344326,108.157211,-205.64228401406098,-268.2855935970757,-682.214461407203,318.68519342506187,-357.27102022418364,61.46302010121205
