,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
2900,0.692892,0.7575402638300237,0.6209129782612994,138.305893,16.916227,116.168716,-209.0,-219.0,-1016.0,383.0,-453.0,100.0
2901,0.692892,0.7575402638300237,0.6209129782612994,138.305893,16.916227,116.168716,-201.99649824912456,-217.99949974987493,-1007.9959979989994,386.00150075037516,-448.9979989994997,101.00050025012506
2902,0.692892,0.7575402638300237,0.6209129782612994,138.305893,16.916227,116.168716,-201.9976666674452,-218.33333355577793,-1002.6586631102225,386.0009999996663,-445.9956646661112,99.66566577722195
2903,0.692892,0.7575402638300237,0.6209129782612994,138.305893,16.916227,116.168716,-199.74487306240675,-220.00250225112507,-1000.240372314159,385.49999899912467,-443.4929970001264,98.2471229368441
2904,0.692892,0.7575402638300237,0.6209129782612994,138.305893,16.916227,116.168716,-196.78999459980287,-221.204403200198,-995.7833928018055,383.9969961982008,-439.38619220000453,95.9931949992024
2905,0.634538,0.7553196607823244,0.746000572547926,138.845551,18.776699,119.08326,-194.65299344828705,-222.00566983118938,-990.8070697692308,382.4937437076928,-435.478737879285,93.82224234879294
2906,0.694041,0.7575839878746788,0.6184499826511383,138.845551,18.776699,119.08326,-191.40713015030616,-220.85856713413833,-985.246548871466,381.27670671758403,-431.827984156602,92.27156343644559
2907,0.691023,0.7574691409062113,0.6249193653765219,138.845551,17.995552,117.259354,-190.35255524214352,-220.37455558580098,-982.455982790815,381.11655898044,-430.09342731481314,91.48487008011817
2908,0.692637,0.7575305600603222,0.6214595960860088,138.845551,17.197224,111.601303,-190.53633807829164,-219.5518774750922,-979.2815387326831,380.7688872022412,-428.96744194290613,91.54233606628199
2909,0.691257,0.7574780455419374,0.6244177631373768,138.256912,16.599566,116.294762,-190.78381495186184,-219.39599010178188,-978.6505529821316,381.0934551497734,-431.5824338873109,91.68875961159637
2910,0.690134,0.7574353109012518,0.6268250251654106,138.450912,16.424955,116.080376,-192.35676388104523,-219.3598106459487,-979.6874900552208,382.08992666743455,-434.08742736508674,91.89992504016604
2911,0.690134,0.7574353109012518,0.6268250251654106,138.450912,16.424955,116.080376,-193.8351375702834,-219.74862445583378,-980.6353953572215,382.41756211361246,-436.4262960796574,91.99210324748827
2912,0.689949,0.7574282709114684,0.627221591038239,138.413681,16.506092,114.53775,-195.0860666491262,-220.15500579070027,-981.4374674685513,382.46263447298884,-438.25056349041967,91.68317157177877
2913,0.690561,0.757451559958752,0.6259097082589367,138.529358,16.856756,112.926231,-195.15177299030142,-220.14386180152627,-981.3341221558688,382.42937382165957,-438.44823152952273,90.98700945629703
2914,0.689685,0.7574182246557774,0.6277875012567617,138.263931,16.930847,113.129837,-194.73877630421134,-220.13420370013355,-980.573210643449,382.4005479911683,-438.01533222439025,90.71934325738879
2915,0.689685,0.7574182246557774,0.6277875012567617,138.263931,16.930847,113.129837,-194.69225550213156,-219.93684264621166,-980.663055681639,383.0679963192296,-438.01436675301244,91.24077686485269
2916,0.689685,0.7574182246557774,0.6277875012567617,138.263931,16.930847,113.129837,-194.82909443549408,-220.11847418531883,-981.8689455758398,382.9453733812127,-438.6657657000007,91.16720434290144
2917,0.686009,0.7572783381560799,0.635667372329827,138.075546,15.963206,116.42952,-195.34293361517078,-220.27992398440557,-983.8933423200413,383.0044633448865,-439.69301953512615,91.15783600497772
2918,0.686009,0.7572783381560799,0.635667372329827,138.075546,15.963206,116.42952,-195.43093517932112,-220.7430196913173,-985.0673571161792,382.73869209630226,-439.2844675553575,90.99013330440249
2919,0.686009,0.7572783381560799,0.635667372329827,138.075546,15.963206,116.42952,-194.7529863861927,-221.21028116972482,-985.6696771135516,382.8023587107009,-439.118678592378,91.14206133223628
