,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
2000,0.679689,0.7456585930243732,0.6173822825006057,136.326218,19.616327,108.57962,-144.0,-203.0,-1338.0,508.0,-671.0,231.0
2001,0.679689,0.7456585930243732,0.6173822825006057,136.326218,19.616327,108.57962,-149.0025012506253,-204.00050025012507,-1348.0050025012506,509.000500250125,-673.00100050025,231.0
2002,0.681595,0.7454558815320905,0.6130264522633266,135.319412,20.211061,107.506157,-153.33933622311102,-203.66666644422205,-1352.0073360002216,512.6706691122224,-679.0066706684448,231.0
2003,0.681595,0.7454558815320905,0.6130264522633266,135.319412,20.211061,107.506157,-155.00700199874788,-204.50125087543756,-1354.5092523734352,513.0035007488734,-685.5147586268102,229.49774812406238
2004,0.672942,0.7463761661819969,0.6328013730624744,135.694672,18.511728,110.576523,-157.0096027973962,-206.20440360119898,-1354.8079987943959,511.3995959957985,-688.2172063947907,227.79479599920185
2005,0.677788,0.7458607727446404,0.6217266861108195,136.334839,19.127335,109.833961,-159.18008798126328,-209.01067600143796,-1354.505911449838,510.6644946917393,-687.1784118025644,225.824076431222
2006,0.679605,0.7456675267942324,0.6175742498353021,136.438873,19.662092,110.307076,-160.44386041727233,-210.44200913683972,-1354.1468487051468,509.5662777132955,-682.854259258005,224.5597072920146
2007,0.674928,0.7461649463374673,0.6282627167921513,136.234833,18.670851,111.774452,-161.64256495052825,-211.6409458913004,-1352.6231703953458,507.73911068874185,-676.4751947225599,223.10967891872727
2008,0.677146,0.7459290522714218,0.6231938650259994,136.312469,19.280115,108.169861,-161.68243908094593,-211.7925569346355,-1352.1074266271855,505.53708860082753,-671.7368192991481,221.53565539140914
2009,0.665957,0.7471190516875552,0.6487643710726498,136.578079,17.134289,115.807419,-162.8192974169085,-212.11474723801138,-1351.9961847084023,503.8759244009732,-666.7407147472118,220.47734011109216
2010,0.68764,0.7448129691654335,0.5992116601414208,136.417496,24.82999,108.449074,-163.56672359361733,-212.83517977597666,-1354.0065533007526,502.79088596084597,-663.8407387575519,220.25099905678368
2011,0.675783,0.7460740133228285,0.6263087635639908,136.417496,19.206909,108.449074,-163.4354436558839,-213.5193317827385,-1355.6818573865828,502.640822862042,-662.1782304763924,220.6489304791873
2012,0.675783,0.7460740133228285,0.6263087635639908,136.417496,19.206909,108.449074,-162.62788961844444,-213.78868570428946,-1357.022033851484,502.8233894194033,-660.9262669019957,221.29518378003925
2013,0.677023,0.7459421338630015,0.623474960051805,139.949249,19.676292,109.536354,-162.2232780184711,-214.09145401189693,-1358.3145420811725,502.3328285347019,-660.2126276863622,220.84259772131125
2014,0.675601,0.7460933698241903,0.6267246927891663,136.485855,19.309931,107.742119,-161.9397500292531,-214.75666006932283,-1359.7703861558712,502.2433496529509,-660.0640838594916,220.98743401372099
2015,0.677089,0.7459351144723977,0.6233241285745434,135.654099,19.817747,106.790466,-161.18790302925206,-214.89792336149642,-1361.422067006105,501.85020543342966,-659.7451980998916,221.1771355312184
2016,0.677024,0.7459420275085984,0.6234726747263921,135.687317,19.86652,106.639519,-160.76169250874403,-215.20045370044488,-1362.0492911504596,501.5033144009945,-658.2779184608498,221.58170089677225
2017,0.671942,0.7464825205850832,0.6350866984755275,135.76001,19.039501,109.265793,-159.59842995278862,-215.6934858901547,-1361.3741781164315,501.4751140605693,-656.3573515790888,221.6611671656824
2018,0.667307,0.7469754732433886,0.6456791817650285,135.966583,18.002829,110.235008,-158.34519184093614,-216.18772547280003,-1360.7701314262479,501.8747369958876,-654.5858479496943,221.67916150777904
2019,0.678018,0.7458363112319305,0.6212010612658172,137.429825,20.699831,101.247528,-156.66203781901783,-216.1277730539921,-1360.024584475043,502.03248984433475,-653.3448363802842,221.49344971104847
2020,0.676583,0.7459889298003595,0.6244805032335483,136.631546,19.904015,107.963219,-155.5720621262458,-215.78494866041848,-1359.6386261560142,502.12712115075493,-651.8853412404474,221.56591023767936
2021,0.663408,0.7473901490610223,0.6545896655505221,136.627426,17.282591,115.204803,-155.22424968515062,-215.93262769897132,-1359.8389599696986,502.21314930973864,-650.4666648281576,221.815517807434
2022,0.673761,0.7462890619258692,0.630929691549184,136.516251,19.367552,107.80323,-155.0385582768887,-216.19933989427264,-1359.7581221660737,502.55544708528987,-649.3471900792338,222.17529484182066
2023,0.684763,0.745118950783113,0.6057865413547745,137.317139,24.739603,102.572594,-155.28982011420175,-216.31738164265147,-1359.557577637898,502.7849231805429,-648.57389581537,222.46294136036602
2024,0.676693,0.74597723081602,0.6242291174381125,137.317139,20.600859,102.572594,-155.64242632202834,-216.66887210245036,-1359.1706670056155,502.99604034286824,-647.8624679411533,222.56564677376554
2025,0.672656,0.7464065835412796,0.6334549761306076,136.212372,19.553074,108.674782,-156.20157445115973,-216.87649006471432,-1358.7745757470393,503.42458374395574,-647.2447124992077,222.62150690312663
2026,0.672117,0.7464639085645431,0.6346867665282434,136.271866,19.464479,108.868851,-157.01946808687597,-216.99368655174695,-1358.3703054059863,503.52121533601354,-647.0104060994846,222.56066672118936
2027,0.666119,0.7471018222742551,0.6483941483557354,136.105637,18.341402,110.462929,-157.77893732761413,-217.24730641119336,-1358.0673107289326,503.6833417874435,-647.0462281716502,222.28697996062522
2028,0.665554,0.747161912511999,0.6496853572141104,135.887024,18.164265,109.758278,-158.52099400852939,-217.62330587166295,-1357.5754059610106,503.8342863991864,-646.520092684954,222.2070090004004
