,X,Y,Z,R_x,R_y,R_z, Fx, Fy, Fz, Tx, Ty, Tz
5000,0.607219,0.7490695502731153,0.7603043258923661,139.451904,8.601263,105.138161,-263.0,-270.0,-1518.0,536.0,-813.0,277.0
5001,0.607692,0.7490499729813921,0.7579240518307988,139.126297,8.822433,105.138161,-269.0030015007504,-268.99949974987493,-1518.5002501250624,537.000500250125,-809.4982491245622,277.5002501250625
5002,0.605393,0.7491451277248842,0.7694932908742285,141.800613,8.916644,105.138161,-265.66533110933227,-270.000667333778,-1514.6629974431105,538.3350008892222,-809.6656667782225,276.665999444111
5003,0.605157,0.7491548956759342,0.7706809117590696,140.908585,9.029842,105.092636,-265.74912393746956,-269.7501249372184,-1513.7458733130325,537.4999989988743,-805.4929952479999,275.24737306178145
5004,0.605157,0.7491548956759342,0.7706809117590696,140.908585,9.029842,105.092636,-268.40460480340073,-270.6018016005997,-1511.1915952002028,535.7965957978006,-799.3821867970054,273.79499659980206
5005,0.605474,0.7491417751654136,0.7690856752315502,140.671402,8.997188,104.95961,-269.8407562645709,-271.67083702828904,-1510.8254151029444,536.498916627594,-797.8145751899415,274.3305008100181
5006,0.601687,0.7492985176680689,0.7881429645997393,141.254501,8.997188,104.95961,-271.2964365679864,-272.00457413999357,-1509.9907130084368,536.5707150030022,-795.1187045883124,274.42643086243044
5007,0.604078,0.7491995550792522,0.7761107547028971,140.932571,8.997188,104.95961,-271.5101284245112,-272.50575299461536,-1510.1173161081165,537.3771926611379,-795.1038145035773,274.7492546308722
5008,0.604078,0.7491995550792522,0.7761107547028971,140.932571,8.997188,104.95961,-271.3416640899828,-273.34178343683556,-1508.6539969008988,538.116008521393,-794.4228955620226,274.4425579656605
5009,0.603711,0.7492147450709274,0.7779576058246627,140.995148,9.032741,105.311821,-271.7091469517762,-272.8051968814366,-1509.4923598010896,538.9079619729555,-795.9876285603368,274.6994551289517
5010,0.599246,0.7493995497380402,0.8004267890908272,141.455261,8.106332,105.847015,-272.55800152162084,-272.6402658880904,-1509.81283375507,539.2818291691328,-795.8060297794889,274.1787269991746
5011,0.599246,0.7493995497380402,0.8004267890908272,141.455261,8.106332,105.847015,-272.59503774993595,-272.8379942867314,-1509.5771389319855,539.5095919339745,-795.3195270989684,274.0799583282446
5012,0.599246,0.7493995497380402,0.8004267890908272,141.455261,8.106332,105.847015,-272.6263760342326,-273.23745967531454,-1509.068162478806,539.5475425019399,-794.7531004231283,273.4546851548671
5013,0.601761,0.7492954548359599,0.787770575000255,140.705185,8.876233,105.661957,-273.0127074546852,-274.2987980215512,-1508.3443218199577,539.3643894343438,-794.0519108415186,273.062525919791
5014,0.601761,0.7492954548359599,0.787770575000255,140.705185,8.876233,105.661957,-274.1531421777997,-274.81581496951463,-1508.2540713413466,539.407060881693,-792.9742725747276,273.0583282685271
5015,0.603545,0.749221615748361,0.778792966277559,138.896713,8.605443,105.088829,-274.3324090391499,-274.82741311539513,-1507.98619213383,539.5703384622544,-792.7240123175886,272.80277501772736
5016,0.603116,0.7492393718966681,0.7809518194961895,138.810379,8.548078,105.088829,-275.20213162062896,-274.7783512160967,-1508.164897468908,540.3073618322389,-793.0368548040778,273.2295382883814
5017,0.600933,0.7493297254438813,0.7919373126809681,140.622696,8.300202,105.088829,-276.75962600156544,-274.3985651192995,-1508.4358047529001,540.4021991197341,-792.754643486725,273.49682379419494
